id,name,uri_x,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,playlist
2HZzRcA4c9XbGDpt7U1ZBf,I Wait for You - Ben Pearce Remix,spotify:track:2HZzRcA4c9XbGDpt7U1ZBf,1.14e-05,0.573,404520,0.77,0.685,11,0.0975,-9.517,0,0.0358,124.02,4,0.228,workout
29YCC9Vad3O2jI36akkltE,Communicate,spotify:track:29YCC9Vad3O2jI36akkltE,0.00664,0.587,285600,0.925,0.635,0,0.213,-5.842,1,0.0315,124.007,4,0.227,workout
7wZnt8sHhTMO8PA4o5Ah3n,Tempest,spotify:track:7wZnt8sHhTMO8PA4o5Ah3n,0.00096,0.798,325744,0.705,0.852,5,0.0828,-10.201,0,0.0575,119.982,4,0.365,workout
6j4zFIzEe3NMzF6oC8XVZ0,Jungle Dub,spotify:track:6j4zFIzEe3NMzF6oC8XVZ0,0.00208,0.798,309539,0.631,0.872,4,0.0728,-9.637,0,0.0486,120.998,4,0.212,workout
1FXlhqcYaiw6KuUYtXdtAi,Crash,spotify:track:1FXlhqcYaiw6KuUYtXdtAi,0.000455,0.689,232982,0.456,0.882,2,0.07,-12.307,1,0.0339,126.0,4,0.238,workout
1CnMonW2jPjo4OvGEw6esf,Tight,spotify:track:1CnMonW2jPjo4OvGEw6esf,0.0146,0.877,188188,0.857,0.015,1,0.0569,-3.74,0,0.126,124.015,4,0.822,workout
44QmaCaPpfq5ZnXImEFAOo,Under The Moon - Cassius Remix - Edit,spotify:track:44QmaCaPpfq5ZnXImEFAOo,0.00972,0.78,233704,0.508,0.722,5,0.149,-10.813,0,0.0436,120.927,4,0.118,workout
4yKPPG7FdX4ky1paSXOU17,Broad Horizons,spotify:track:4yKPPG7FdX4ky1paSXOU17,0.0139,0.727,406437,0.694,0.776,2,0.0652,-13.159,1,0.0516,121.003,4,0.063,workout
5K09638EBQjVMrZYXA89aC,Alone (Calvin Harris Remix) (Feat. Stefflon Don),spotify:track:5K09638EBQjVMrZYXA89aC,0.137,0.829,199199,0.819,0.00792,2,0.282,-3.43,0,0.131,123.944,4,0.35,workout
20crOBgMPIf0he1TIFsJhk,Bloodflow - Aera High Blood Pressure Remake,spotify:track:20crOBgMPIf0he1TIFsJhk,0.000359,0.811,403034,0.735,0.86,7,0.0723,-10.797,0,0.042,121.996,4,0.13,workout
3T55R03WnNLSFTrHshztyl,Just Fine!,spotify:track:3T55R03WnNLSFTrHshztyl,0.0011,0.71,186465,0.875,0.358,1,0.205,-10.135,0,0.0376,116.018,4,0.357,workout
